Date,Address,SO2,NO2,O3,CO,PM10,PM2.5
2019-01-01 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.02,0.025,0.6,36,24
2019-01-02 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.029,0.022,0.6,30,20
2019-01-03 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.032,0.02,0.6,39,20
2019-01-04 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.072,0.004,1.3,66,44
2019-01-05 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.024,0.023,0.6,48,26
2019-01-06 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.037,0.016,0.7,65,27
2019-01-07 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.026,0.024,0.7,53,28
2019-01-08 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.021,0.027,0.6,39,22
2019-01-09 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.04,0.009,0.8,56,23
2019-01-10 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.049,0.009,0.7,74,35
2019-01-11 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.038,0.017,0.8,77,47
2019-01-12 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.007,0.059,0.014,1,116,77
2019-01-13 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.007,0.056,0.018,1.3,115,68
2019-01-14 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.068,0.01,1.6,177,130
2019-01-15 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.026,0.024,1.2,139,95
2019-01-16 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.03,0.017,0.5,45,17
2019-01-17 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.022,0.027,0.6,42,19
2019-01-18 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.058,0.009,1,51,32
2019-01-19 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.008,0.065,0.007,1.2,121,79
2019-01-20 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.014,0.031,0.4,47,13
2019-01-21 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.05,0.005,0.8,45,23
2019-01-22 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.035,0.021,0.8,71,34
2019-01-23 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.007,0.029,0.029,0.7,83,48
2019-01-24 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.042,0.015,0.8,43,22
2019-01-25 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.017,0.031,0.6,39,23
2019-01-26 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.019,0.026,0.5,42,24
2019-01-27 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.036,0.019,0.6,41,24
2019-01-28 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.014,0.032,0.5,101,14
2019-01-29 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.041,0.013,0.7,66,22
2019-01-30 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.039,0.02,0.6,55,27
2019-01-31 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.025,0.014,0.5,73,16
2019-02-01 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.005,0.026,0.021,0.6,38,19
2019-02-02 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.043,0.01,0.8,63,33
2019-02-03 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.003,0.043,0.009,0.8,23,18
2019-02-04 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.003,0.008,0.036,0.4,51,24
2019-02-05 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.03,0.022,0.6,77,18
2019-02-06 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.007,0.046,0.015,0.8,98,34
2019-02-07 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.003,0.012,0.034,0.4,26,12
2019-02-08 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.034,0.014,0.7,37,19
2019-02-09 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.011,0.031,0.5,33,13
2019-02-10 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.035,0.015,0.7,50,26
2019-02-11 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.014,0.031,0.5,31,17
2019-02-12 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.006,0.024,0.033,0.9,69,44
2019-02-13 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.018,0.03,0.5,33,17
2019-02-14 12:00,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",0.004,0.031,0.023,0.6,33,18
